country,region,sales_2024,sales_2023,pct_change,market_share_pct,rank
Germany,EU,2817331,2844609,-1.0,21.73,1
United Kingdom,UK,1952778,1903054,2.6,15.06,2
France,EU,1718412,1774722,-3.2,13.26,3
Italy,EU,1559229,1567151,-0.5,12.03,4
Spain,EU,1016885,949362,7.1,7.84,5
Poland,EU,551568,475032,16.1,4.25,6
Belgium,EU,448277,476675,-6.0,3.46,7
Netherlands,EU,381227,369631,3.1,2.94,8
Sweden,EU,269582,289820,-7.0,2.08,9
Austria,EU,253789,239150,6.1,1.96,10
Switzerland,EFTA,239535,252214,-5.0,1.85,11
Czechia,EU,231597,221419,4.6,1.79,12
Portugal,EU,209715,199623,5.1,1.62,13
Denmark,EU,173114,172745,0.2,1.34,14
Romania,EU,151105,143080,5.6,1.17,15
Greece,EU,137075,134484,1.9,1.06,16
Norway,EFTA,128687,126953,1.4,0.99,17
Hungary,EU,121611,107720,12.9,0.94,18
Ireland,EU,121196,122400,-1.0,0.93,19
Slovakia,EU,93409,88003,6.1,0.72,20
Finland,EU,74064,87502,-15.4,0.57,21
Croatia,EU,65020,57694,12.7,0.5,22
Slovenia,EU,53018,48924,8.4,0.41,23
Luxembourg,EU,46659,49105,-5.0,0.36,24
Bulgaria,EU,42941,37724,13.8,0.33,25
Lithuania,EU,30122,27666,8.9,0.23,26
Estonia,EU,25386,22820,11.2,0.2,27
Latvia,EU,17329,18928,-8.4,0.13,28
Cyprus,EU,15057,14740,2.2,0.12,29
Iceland,EFTA,10233,17543,-41.7,0.08,30
Malta,EU,7663,7436,3.1,0.06,31
