country,region,sales_2024,sales_2025,pct_change
Germany,EU,2817331,2857591,1.4
United Kingdom,UK,1952778,2020523,3.5
France,EU,1718412,1632152,-5.0
Italy,EU,1559229,1524843,-2.1
Spain,EU,1016885,1148650,12.9
Poland,EU,551568,597435,8.3
Belgium,EU,448277,414770,-7.5
Netherlands,EU,381227,388024,1.7
Austria,EU,253789,284978,12.3
Sweden,EU,269582,272998,1.3
Czechia,EU,231597,248719,7.4
Switzerland,EFTA,239535,233737,-2.4
Portugal,EU,209715,225039,7.3
Denmark,EU,173114,184641,6.7
Norway,EFTA,128687,179632,39.4
Romania,EU,151105,156803,3.8
Greece,EU,137075,144199,5.2
Hungary,EU,121611,129440,6.4
Ireland,EU,121196,124954,3.0
Slovakia,EU,93409,93103,-0.3
Finland,EU,74064,71881,-3.0
Croatia,EU,65020,69841,7.4
Slovenia,EU,53018,57556,8.6
Bulgaria,EU,42941,49419,15.1
Luxembourg,EU,46659,47158,1.1
Lithuania,EU,30122,41974,39.3
Latvia,EU,17329,22506,31.4
Cyprus,EU,15057,14634,-2.8
Iceland,EFTA,10233,14547,42.4
Estonia,EU,25386,13055,-48.6
Malta,EU,7663,6468,-15.6
